Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Item,Item ID,Order Date,Order ID,Order Priority,Postal Code,Region,Row ID,Ship Date,Ship Mode,State,Discount,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Paper,Cuyahoga Falls,Small Box,340,Wanda Link Fuller,Corporate,Office Supplies,Xerox 196,10753,12/3/2020,90587,Critical,44221,East,23806,12/4/2020,Regular Air,Ohio,0.08,1,0.36,-4,9,8,6
Telephones and Communication,Terrytown,Small Pack,92,Victoria Baker Hoover,Corporate,Technology,Accessory15,11213,11/19/2020,87185,High,70056,South,23807,11/20/2020,Regular Air,Louisiana,0.08,30,0.83,-192,503,1,21
Envelopes,Tysons Corner,Small Box,93,Vicki Shannon,Corporate,Office Supplies,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",10967,11/20/2018,87180,High,22102,South,23808,11/22/2018,Express Air,Virginia,0.01,11,0.39,4133,120,1,10
Pens & Art Supplies,Victoria,Wrap Bag,1141,Nancy Bennett,Small Business,Office Supplies,Newell 314,10266,9/28/2018,86579,Low,77901,Central,23809,9/28/2018,Regular Air,Texas,0,4,0.6,5,24,1,6
Paper,Waco,Small Box,1142,Russell Chan,Small Business,Office Supplies,Xerox 1899,10323,9/28/2018,86579,Low,76706,Central,23810,10/2/2018,Regular Air,Texas,0.03,11,0.36,-42,64,5,6
Paper,Irving,Wrap Bag,3064,Clarence Crowder,Consumer,Office Supplies,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",10400,7/12/2017,88448,Low,75061,Central,23811,7/17/2017,Regular Air,Texas,0.03,9,0.36,39,57,1,6
Binders and Binder Accessories,Peachtree City,Small Box,1910,Sean Stephenson,Home Office,Office Supplies,Binding Machine Supplies,10763,6/29/2017,91371,Not Specified,30269,South,23812,6/30/2017,Regular Air,Georgia,0.02,2,0.37,37,63,6,29
Tables,Peachtree City,Jumbo Box,1910,Sean Stephenson,Home Office,Furniture,"Bevis Round Conference Table Top, X-Base",10550,6/28/2020,91373,Not Specified,30269,South,23813,6/30/2020,Delivery Truck,Georgia,0,16,0.74,-2210,2441,29,179
Paper,Auburn,Small Box,2447,Gladys Everett,Consumer,Office Supplies,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",11022,7/11/2019,87793,High,13021,East,23814,7/13/2019,Express Air,New York,0.03,8,0.37,316,457,7,55
Storage & Organization,Channelview,Large Box,1254,Anne Bland,Home Office,Office Supplies,Carina Double Wide Media Storage Towers in Natural & Black,10652,9/10/2017,89983,Critical,77530,Central,23815,9/11/2017,Regular Air,Texas,0.06,2,0.81,-219,173,35,81
Computer Peripherals,Strongsville,Small Box,3077,Lynne Reid,Small Business,Technology,Gyration Ultra Professional Cordless Optical Suite,10791,5/5/2017,88239,Medium,44136,East,23816,5/7/2017,Regular Air,Ohio,0.07,2,0.48,-808,582,7,301
Office Furnishings,Oxford,Medium Box,2391,Jacob McNeill,Corporate,Furniture,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",10471,1/8/2019,91124,Critical,1540,East,23817,1/10/2019,Regular Air,Massachusetts,0.08,5,0.65,213,524,6,108
Office Furnishings,Tacoma,Medium Box,681,Allison Cooke,Corporate,Furniture,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",10947,10/15/2020,88897,Low,98408,West,23818,10/22/2020,Regular Air,Washington,0.01,12,0.64,331,727,12,61
Binders and Binder Accessories,Waxahachie,Small Box,1145,Alvin B Winstead,Consumer,Office Supplies,GBC Standard Therm-A-Bind Covers,10577,7/1/2020,87771,Medium,75165,Central,23819,7/3/2020,Regular Air,Texas,0.08,14,0.39,-20,329,13,25
Paper,Eastpointe,Small Box,2023,Dan George,Home Office,Office Supplies,Xerox 1894,10713,9/13/2020,90765,Medium,48021,Central,23820,9/14/2020,Regular Air,Michigan,0.09,21,0.37,-89,137,6,6
Computer Peripherals,Frisco,Small Pack,1744,Leon Doyle,Consumer,Technology,"80 Minute CD-R Spindle, 100/Pack - Staples",10697,1/29/2020,91028,Not Specified,75034,Central,23821,1/30/2020,Regular Air,Texas,0.05,6,0.54,107,225,2,39
Binders and Binder Accessories,Pottstown,Small Box,1709,Dennis Bowen,Consumer,Office Supplies,Avery Premier Heavy-Duty Binder with Round Locking Rings,10237,7/19/2017,88782,Not Specified,19464,East,23822,7/20/2017,Regular Air,Pennsylvania,0.01,2,0.39,21,30,3,14
Telephones and Communication,Pottstown,Small Box,1709,Dennis Bowen,Consumer,Technology,Item 10527,10527,7/18/2020,88790,Not Specified,19464,East,23823,7/21/2020,Regular Air,Pennsylvania,0,1,0.59,-718,175,6,206
Appliances,Mineral Wells,Small Box,514,Meredith Brandon,Consumer,Office Supplies,"Conquest™ 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",10238,10/7/2019,90065,Low,76067,Central,23824,10/16/2019,Express Air,Texas,0,10,0.56,149,582,13,57
Rubber Bands,Haltom City,Wrap Bag,2118,Sheryl Cole,Home Office,Office Supplies,Staples Pushpins,10980,1/31/2020,90895,Medium,76117,Central,23825,1/31/2020,Regular Air,Texas,0.04,9,0.5,0,17,1,2
Binders and Binder Accessories,Derry,Small Box,1637,Rodney Christian Callahan,Home Office,Office Supplies,GBC Plastic Binding Combs,11190,12/15/2019,89710,Critical,3038,East,23826,12/16/2019,Express Air,New Hampshire,0,22,0.36,-168,173,12,7
Office Furnishings,Derry,Small Pack,1637,Rodney Christian Callahan,Home Office,Furniture,"DAX Metal Frame, Desktop, Stepped-Edge",10803,12/15/2019,89710,Critical,3038,East,23827,12/17/2019,Express Air,New Hampshire,0.08,2,0.46,-4,43,9,20
Storage & Organization,Derry,Medium Box,1637,Rodney Christian Callahan,Home Office,Office Supplies,Eldon Simplefile® Box Office®,10730,12/15/2019,89710,Critical,3038,East,23828,12/17/2019,Regular Air,New Hampshire,0.07,20,0.57,-35,244,6,12
Storage & Organization,Asbury Park,Small Box,1221,Vickie Frost,Small Business,Office Supplies,Smead Adjustable Mobile File Trolley with Lockable Top,10869,5/6/2018,90801,Medium,7712,East,23829,5/7/2018,Regular Air,New Jersey,0.01,1,0.58,-259,423,20,419
Telephones and Communication,Chesapeake,Small Box,1875,Martin Kirk,Consumer,Technology,TimeportP7382,11199,9/21/2018,90900,Not Specified,23320,South,23830,9/22/2018,Regular Air,Virginia,0.08,22,0.56,-175,3792,9,206
Chairs & Chairmats,Westlake,Jumbo Drum,1472,Tommy Ellis Ritchie,Home Office,Furniture,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,11233,10/26/2020,87085,Not Specified,44145,East,23831,10/29/2020,Delivery Truck,Ohio,0.03,16,0.69,446,2909,30,181
Computer Peripherals,Westlake,Small Pack,1472,Tommy Ellis Ritchie,Home Office,Technology,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",10962,10/26/2020,87085,Not Specified,44145,East,23832,10/28/2020,Regular Air,Ohio,0.05,22,0.5,433,662,2,30
Binders and Binder Accessories,Brunswick,Small Box,1325,Laura A Whitaker,Small Business,Office Supplies,"Avery Trapezoid Extra Heavy Duty 4"" Binders",10965,5/9/2020,89758,Low,4011,East,23833,5/16/2020,Regular Air,Maine,0.04,12,0.35,333,483,3,42
Chairs & Chairmats,Glassboro,Jumbo Drum,1333,Dolores McClure,Small Business,Furniture,"Situations Contoured Folding Chairs, 4/Set",10602,5/10/2018,89751,Low,8028,East,23834,5/14/2018,Delivery Truck,New Jersey,0.03,14,0.6,-1331,996,60,71
Binders and Binder Accessories,Austin,Small Box,381,Danielle Watts,Corporate,Office Supplies,Ibico Covers for Plastic or Wire Binding Elements,10469,7/19/2019,88935,Not Specified,78745,Central,23835,7/21/2019,Regular Air,Texas,0,1,0.4,-18,19,7,12
Binders and Binder Accessories,Port Huron,Small Box,3001,Anthony Foley,Consumer,Office Supplies,3M Organizer Strips,10479,9/15/2017,87043,Not Specified,48060,Central,23836,9/17/2017,Regular Air,Michigan,0.03,21,0.37,-238,118,8,5
Copiers and Fax,Longmont,Large Box,1980,Ronnie Mathews,Corporate,Technology,Hewlett Packard LaserJet 3310 Copier,11030,11/14/2019,87762,Low,80501,West,23837,11/21/2019,Regular Air,Colorado,0.08,14,0.37,119,8346,24,600
Office Furnishings,Longmont,Large Box,1980,Ronnie Mathews,Corporate,Furniture,Dana Halogen Swing-Arm Architect Lamp,10424,11/14/2019,87762,Low,80501,West,23838,11/16/2019,Regular Air,Colorado,0.08,39,0.57,239,1497,14,41
Paper,Longmont,Small Box,1980,Ronnie Mathews,Corporate,Office Supplies,Xerox 2,10239,11/14/2019,87762,Low,80501,West,23839,11/18/2019,Regular Air,Colorado,0.01,20,0.37,10,136,6,6
Paper,West Scarborough,Wrap Bag,995,Lloyd Spencer,Small Business,Office Supplies,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",10994,11/8/2017,89434,Low,4070,East,23840,11/13/2017,Regular Air,Maine,0.09,9,0.36,4,73,6,8
Labels,Derry,Small Box,87,Norman Shields,Corporate,Office Supplies,Avery 493,10984,9/20/2017,90597,High,3038,East,23841,9/21/2017,Regular Air,New Hampshire,0.09,9,0.36,29,42,1,5
Tables,Derry,Jumbo Box,87,Norman Shields,Corporate,Furniture,Hon 94000 Series Round Tables,10880,9/20/2017,90597,High,3038,East,23842,9/23/2017,Delivery Truck,New Hampshire,0.01,9,0.76,173,2876,54,296
Binders and Binder Accessories,Annapolis,Small Box,3249,Nicole Goldstein,Corporate,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",10974,1/21/2020,87303,Medium,21403,East,23843,1/22/2020,Regular Air,Maryland,0,11,0.36,-134,59,6,5
Binders and Binder Accessories,Oxford,Small Box,1497,Gloria Jacobs,Home Office,Office Supplies,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",10406,1/21/2020,85889,Low,1540,East,23844,1/28/2020,Express Air,Massachusetts,0.01,13,0.36,-266,76,8,5
Bookcases,Medina,Jumbo Box,2216,Clara Kaplan,Corporate,Furniture,"Bush Westfield Collection Bookcases, Fully Assembled",11202,4/17/2020,90318,Not Specified,44256,East,23845,4/19/2020,Delivery Truck,Ohio,0,9,0.62,-7,936,36,101
Computer Peripherals,Medina,Small Pack,2216,Clara Kaplan,Corporate,Technology,"Imation Primaris 3.5"" 2HD Unformatted Diskettes, 10/Pack",11139,4/17/2020,90318,Not Specified,44256,East,23846,4/19/2020,Regular Air,Ohio,0.09,13,0.72,-89,59,2,5
Rubber Bands,Sharon,Wrap Bag,2162,Brenda Jain,Corporate,Office Supplies,"Super Bands, 12/Pack",10608,5/28/2020,90399,High,16146,East,23847,5/29/2020,Regular Air,Pennsylvania,0.07,16,0.82,-105,31,3,2
Storage & Organization,South Burlington,Small Box,2608,Julia Gallagher,Corporate,Office Supplies,"Tenex Personal Filing Tote With Secure Closure Lid, Black/Frost",10521,10/25/2020,87388,Critical,5403,East,23848,10/27/2020,Regular Air,Vermont,0.07,11,0.6,-30,167,6,16
Chairs & Chairmats,Hudson,Jumbo Drum,2082,Kathryn Jenkins,Home Office,Furniture,Global Troy™ Executive Leather Low-Back Tilter,11084,9/22/2018,86094,High,44236,East,23849,9/24/2018,Delivery Truck,Ohio,0.05,18,0.6,4822,8567,26,501
Pens & Art Supplies,Boston,Wrap Bag,638,Brooke Shepherd,Consumer,Office Supplies,Sanford Pocket Accent® Highlighters,10782,5/1/2019,87958,High,2129,East,23850,5/3/2019,Express Air,Massachusetts,0.04,9,0.42,-8,16,1,2
Telephones and Communication,Boston,Small Box,638,Brooke Shepherd,Consumer,Technology,V 3600 Series,10240,5/1/2019,87958,High,2129,East,23851,5/2/2019,Regular Air,Massachusetts,0.04,16,0.58,398,899,9,66
Tables,West Memphis,Jumbo Box,2124,Paige Powers,Corporate,Furniture,Bevis 36 x 72 Conference Tables,10849,9/24/2017,89666,High,72301,South,23852,9/25/2017,Delivery Truck,Arkansas,0.03,21,0.63,18,2762,52,124
Chairs & Chairmats,Lincoln,Jumbo Drum,389,Joel Buckley,Corporate,Furniture,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,10814,2/4/2017,90338,Low,68502,Central,23853,2/8/2017,Delivery Truck,Nebraska,0.03,11,0.62,1273,1845,30,161
Telephones and Communication,Lincoln,Small Box,389,Joel Buckley,Corporate,Technology,StarTAC 7760,10897,2/4/2020,90347,Low,68502,Central,23854,2/8/2020,Regular Air,Nebraska,0.03,6,0.59,172,330,4,66
Paper,Killingly Center,Small Box,1908,Sharon Sellers,Corporate,Office Supplies,Xerox 1881,11260,7/19/2018,86502,Critical,6241,East,23855,7/20/2018,Regular Air,Connecticut,0.06,15,0.38,47,189,6,12
Office Furnishings,Saint Clair Shores,Wrap Bag,1963,Ruby Tan,Corporate,Furniture,3M Hangers With Command Adhesive,10241,7/19/2018,88858,Critical,48080,Central,23856,7/21/2018,Regular Air,Michigan,0.03,5,0.44,5,19,2,4
Paper,Marion,Small Box,1463,Ellen Kirkland,Consumer,Office Supplies,Xerox 1941,10242,12/1/2018,86401,Not Specified,46952,Central,23857,12/3/2018,Regular Air,Indiana,0.09,11,0.37,724,1050,5,105
Pens & Art Supplies,Lima,Small Pack,1891,Gretchen Levine,Corporate,Office Supplies,Boston 19500 Mighty Mite Electric Pencil Sharpener,10370,6/4/2019,90635,Low,45801,East,23858,6/13/2019,Regular Air,Ohio,0,17,0.58,-2,367,9,20
Pens & Art Supplies,Gilroy,Small Pack,486,Tracey Gross,Corporate,Office Supplies,Staples SlimLine Pencil Sharpener,11152,9/18/2018,91064,High,95020,West,23859,9/20/2018,Regular Air,California,0.01,10,0.6,-39,123,6,12
Binders and Binder Accessories,Euless,Small Box,1132,Michael Robbins,Corporate,Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",10243,2/8/2017,88101,Medium,76039,Central,23860,2/9/2017,Regular Air,Texas,0.06,6,0.38,-48,38,5,6
Binders and Binder Accessories,Suffolk,Small Box,2546,Jesse Fisher,Small Business,Office Supplies,GBC Standard Therm-A-Bind Covers,10577,12/22/2020,87932,Medium,23434,South,23861,12/23/2020,Regular Air,Virginia,0.02,2,0.39,-365,57,13,25
Bookcases,Norfolk,Jumbo Box,445,Judy Barrett,Small Business,Furniture,O'Sullivan Living Dimensions 3-Shelf Bookcases,10244,6/21/2017,88084,High,68701,Central,23862,6/22/2017,Delivery Truck,Nebraska,0.09,9,0.75,-513,1767,56,201
Pens & Art Supplies,Norfolk,Wrap Bag,445,Judy Barrett,Small Business,Office Supplies,Newell 333,10715,6/21/2017,88084,High,68701,Central,23863,6/22/2017,Regular Air,Nebraska,0.09,11,0.59,-4,29,1,3
Binders and Binder Accessories,Norwalk,Small Box,296,Seth Rosenberg,Corporate,Office Supplies,GBC VeloBinder Electric Binding Machine,10492,12/16/2020,87395,Medium,6855,East,23864,12/18/2020,Regular Air,Connecticut,0.1,18,0.35,1420,2058,9,121
Telephones and Communication,Phenix City,Small Pack,2579,Marshall Sutherland,Home Office,Technology,Accessory36,10699,11/29/2018,88303,Low,36869,South,23865,12/6/2018,Regular Air,Alabama,0.05,16,0.83,-2039,725,5,56
Chairs & Chairmats,Burton,Jumbo Drum,391,Suzanne Shannon,Corporate,Furniture,"Global High-Back Leather Tilter, Burgundy",11166,11/7/2018,86387,Low,48509,Central,23866,11/7/2018,Delivery Truck,Michigan,0,25,0.74,257,3135,70,123
Computer Peripherals,Hopkinsville,Small Pack,908,Becky Page Cline,Home Office,Technology,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",10692,12/5/2020,86464,Not Specified,42240,South,23867,12/6/2020,Regular Air,Kentucky,0.06,4,0.52,-125,33,2,8
Pens & Art Supplies,Hopkinsville,Small Box,908,Becky Page Cline,Home Office,Office Supplies,Hunt Boston® Vacuum Mount KS Pencil Sharpener,10529,12/5/2020,86464,Not Specified,42240,South,23868,12/7/2020,Regular Air,Kentucky,0.01,5,0.59,-53,186,8,35
Office Furnishings,Mooresville,Medium Box,2192,Julia Haynes,Home Office,Furniture,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",10471,8/11/2020,90691,Critical,28115,South,23869,8/12/2020,Regular Air,North Carolina,0.03,24,0.65,5,2704,6,108
Pens & Art Supplies,New Bern,Small Pack,2193,Donald Melton,Home Office,Office Supplies,Stanley Bostitch Contemporary Electric Pencil Sharpeners,10245,8/12/2017,90685,Critical,28560,South,23870,8/14/2017,Regular Air,North Carolina,0.05,11,0.57,-161,186,8,17
Telephones and Communication,New Bern,Small Box,2193,Donald Melton,Home Office,Technology,Item 10246,10246,8/12/2017,90685,Critical,28560,South,23871,8/14/2017,Regular Air,North Carolina,0.03,12,0.56,848,1228,4,116
Computer Peripherals,Bridgeton,Small Pack,1587,Tim Skinner,Corporate,Technology,"Memorex Slim 80 Minute CD-R, 10/Pack",10916,12/2/2019,90282,Critical,63044,Central,23872,12/2/2019,Regular Air,Missouri,0,3,0.43,-8,33,2,10
Pens & Art Supplies,Bridgeton,Small Pack,1587,Tim Skinner,Corporate,Office Supplies,Boston 1799 Powerhouse™ Electric Pencil Sharpener,11002,12/2/2019,90282,Critical,63044,Central,23873,12/4/2019,Regular Air,Missouri,0.07,20,0.57,346,519,4,26
Telephones and Communication,Guilford,Medium Box,784,Marshall Riddle,Small Business,Technology,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,10957,2/29/2020,90963,Medium,6437,East,23874,3/1/2020,Express Air,Connecticut,0.1,7,0.56,-98,161,9,29
Telephones and Communication,Waynesboro,Small Box,2750,Allen Nash,Small Business,Technology,Item 10961,10961,6/17/2020,91427,High,22980,South,23875,6/20/2020,Regular Air,Virginia,0.03,7,0.57,0,413,5,66
"Scissors, Rulers and Trimmers",Roseville,Small Pack,324,Lester Stuart,Corporate,Office Supplies,"Acme® 8"" Straight Scissors",10506,11/30/2020,91528,Critical,55113,Central,23876,12/2/2020,Regular Air,Minnesota,0.02,25,0.6,129,326,3,13
Appliances,Vernon Hills,Large Box,540,Ruth Lamm,Small Business,Office Supplies,Hoover Portapower™ Portable Vacuum,11187,7/10/2020,91178,Not Specified,60061,Central,23877,7/12/2020,Express Air,Illinois,0.03,16,0.6,-1905,84,49,4
Computer Peripherals,Mustang,Small Box,792,Holly Pate,Corporate,Technology,Adesso Programmable 142-Key Keyboard,11182,12/20/2018,88754,Not Specified,73064,Central,23878,12/21/2018,Regular Air,Oklahoma,0.03,10,0.79,150,1583,4,152
Paper,Mustang,Small Box,792,Holly Pate,Corporate,Office Supplies,Xerox 1927,10921,12/19/2020,88757,Not Specified,73064,Central,23879,12/21/2020,Regular Air,Oklahoma,0.02,3,0.4,-8,17,7,4
Binders and Binder Accessories,Cincinnati,Small Box,84,Helen Stein,Corporate,Office Supplies,GBC DocuBind TL300 Electric Binding System,10548,9/28/2017,87366,High,45231,East,23880,9/30/2017,Regular Air,Ohio,0.08,13,0.38,7402,10728,20,897
Chairs & Chairmats,Cincinnati,Jumbo Drum,84,Helen Stein,Corporate,Furniture,Hon Deluxe Fabric Upholstered Stacking Chairs,10448,9/27/2020,87373,High,45231,East,23881,9/28/2020,Delivery Truck,Ohio,0.02,5,0.57,45,1275,63,244
Binders and Binder Accessories,Wenatchee,Small Box,1231,Jim Roberson,Small Business,Office Supplies,GBC ProClick™ 150 Presentation Binding System,10638,1/25/2020,90383,Low,98801,West,23882,1/30/2020,Regular Air,Washington,0.04,6,0.38,1319,1911,20,316
Office Furnishings,Wenatchee,Small Box,1231,Jim Roberson,Small Business,Furniture,"Eldon® Expressions™ Wood and Plastic Desk Accessories, Oak",10891,1/25/2020,90383,Low,98801,West,23883,2/1/2020,Regular Air,Washington,0,6,0.57,-165,67,13,10
Telephones and Communication,Wenatchee,Small Box,1231,Jim Roberson,Small Business,Technology,Item 10247,10247,1/25/2020,90383,Low,98801,West,23884,1/30/2020,Regular Air,Washington,0.08,2,0.57,-346,196,3,116
Telephones and Communication,Wenatchee,Small Box,1231,Jim Roberson,Small Business,Technology,600 Series Flip,10248,1/25/2020,90383,Low,98801,West,23885,1/30/2020,Regular Air,Washington,0.05,11,0.57,530,889,9,96
Tables,Lima,Jumbo Box,1891,Gretchen Levine,Home Office,Furniture,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",10253,10/3/2017,90630,Not Specified,45801,East,23886,10/5/2017,Delivery Truck,Ohio,0.03,7,0.66,430,2233,29,321
Binders and Binder Accessories,West Bend,Small Box,3361,Oscar Kenney,Home Office,Office Supplies,Cardinal Holdit Business Card Pockets,10946,12/7/2017,91438,Medium,53095,Central,23887,12/9/2017,Regular Air,Wisconsin,0.03,19,0.37,-48,95,5,5
Binders and Binder Accessories,Concord,Small Box,3054,Alice Pittman,Corporate,Office Supplies,GBC Recycled Grain Textured Covers,10249,9/8/2020,86667,Critical,1742,East,23888,9/9/2020,Regular Air,Massachusetts,0,4,0.37,11,156,15,35
Office Machines,Murray,Jumbo Drum,3053,Robin Tyler,Corporate,Technology,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",10805,9/8/2020,86667,Critical,42071,South,23889,9/9/2020,Delivery Truck,Kentucky,0.01,5,0.38,-611,2579,28,501
Office Furnishings,Helena,Small Box,18,Laurie Hanna,Small Business,Furniture,DAX Natural Wood-Tone Poster Frame,11100,5/13/2017,90031,High,59601,West,23890,5/14/2017,Regular Air,Montana,0.05,17,0.49,314,456,7,26
Pens & Art Supplies,Kaysville,Small Box,1990,Eddie Boyd,Home Office,Office Supplies,Model L Table or Wall-Mount Pencil Sharpener,10250,5/25/2019,90004,Critical,84037,West,23891,5/26/2019,Regular Air,Utah,0.06,19,0.57,-107,331,9,18
Pens & Art Supplies,Kaysville,Wrap Bag,1990,Eddie Boyd,Home Office,Office Supplies,Newell 333,10715,5/25/2019,90004,Critical,84037,West,23892,5/27/2019,Regular Air,Utah,0.04,8,0.59,-2,22,1,3
Telephones and Communication,Kaysville,Medium Box,1990,Eddie Boyd,Home Office,Technology,1726 Digital Answering Machine,11113,5/25/2019,90004,Critical,84037,West,23893,5/27/2019,Regular Air,Utah,0.06,19,0.58,101,346,5,21
Telephones and Communication,Greensboro,Small Box,1740,Edna Goodwin,Corporate,Technology,T193,10702,6/20/2020,85874,High,27405,South,23894,6/21/2020,Regular Air,North Carolina,0.04,8,0.57,713,431,5,66
Binders and Binder Accessories,Longmont,Small Box,1980,Ronnie Mathews,Corporate,Office Supplies,Flexible Leather- Look Classic Collection Ring Binder,10444,7/2/2018,87760,Not Specified,80501,West,23895,7/3/2018,Regular Air,Colorado,0.01,2,0.35,27,39,1,19
Pens & Art Supplies,Loveland,Wrap Bag,1981,Sara Barton,Corporate,Office Supplies,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",11012,7/2/2018,87760,Not Specified,80538,West,23896,7/4/2018,Regular Air,Colorado,0.09,10,0.57,-31,30,2,3
Computer Peripherals,Mobile,Small Box,2574,William McDonald,Consumer,Technology,Keytronic 105-Key Spanish Keyboard,10873,8/19/2020,90098,Critical,36608,South,23897,8/20/2020,Regular Air,Alabama,0.02,22,0.77,201,1677,4,74
Chairs & Chairmats,Sanford,Jumbo Drum,3136,Lee Hancock,Consumer,Furniture,"Global Leather & Oak Executive Chair, Burgundy",10251,8/20/2017,86791,Critical,4073,East,23898,8/20/2017,Delivery Truck,Maine,0.03,23,0.77,-678,3596,60,151
Office Furnishings,Biddeford,Medium Box,725,April Bond,Consumer,Furniture,DAX Solid Wood Frames,11106,10/14/2018,90364,Medium,4005,East,23899,10/16/2018,Express Air,Maine,0.03,2,0.48,22,32,6,10
Chairs & Chairmats,Pleasantville,Jumbo Drum,740,Sean Pratt,Consumer,Furniture,Global Enterprise™ Series Seating Low-Back Swivel/Tilt Chairs,10574,10/14/2018,90364,Medium,8232,East,23900,10/16/2018,Delivery Truck,New Jersey,0.05,1,0.55,-368,285,54,259
Office Machines,Centereach,Jumbo Drum,1003,Jessie Coble,Home Office,Technology,Canon S750 Color Inkjet Printer,10667,2/15/2020,88435,Low,11720,East,23901,2/22/2020,Delivery Truck,New York,0,11,0.38,969,1404,26,121
Office Machines,Anaheim,Jumbo Box,2400,Anita Boyle,Corporate,Technology,Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer,10910,7/18/2020,88457,Not Specified,92804,West,23902,7/20/2020,Delivery Truck,California,0.03,15,0.4,470,1200,30,81
Paper,Anaheim,Small Box,2400,Anita Boyle,Corporate,Office Supplies,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10893,7/18/2020,88457,Not Specified,92804,West,23903,7/19/2020,Regular Air,California,0.05,13,0.4,-88,72,6,5
Office Furnishings,Monroe,Small Box,2112,Margaret Olsen,Home Office,Furniture,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",10647,5/4/2019,87867,Low,28110,South,23904,5/9/2019,Express Air,North Carolina,0.04,18,0.55,675,184,6,10
Paper,Monroeville,Small Box,1831,Audrey Hendricks,Corporate,Office Supplies,Xerox 1936,10825,11/24/2018,90284,Low,15146,East,23905,11/26/2018,Regular Air,Pennsylvania,0.02,20,0.38,243,397,6,20
Binders and Binder Accessories,Camarillo,Small Box,3355,Glenda Simon,Corporate,Office Supplies,GBC VeloBinder Electric Binding Machine,10492,2/26/2017,88587,Low,93010,West,23906,3/7/2017,Regular Air,California,0.1,5,0.35,379,550,9,121
Computer Peripherals,Camarillo,Small Pack,3355,Glenda Simon,Corporate,Technology,"Imation 3.5 IBM Formatted Diskettes, 10/Box",11218,2/26/2017,88587,Low,93010,West,23907,3/2/2017,Express Air,California,0.08,6,0.74,-42,49,2,8
Telephones and Communication,Camarillo,Small Box,3355,Glenda Simon,Corporate,Technology,V3682,10252,2/26/2017,88587,Low,93010,West,23908,2/26/2017,Regular Air,California,0.1,7,0.59,372,681,4,126
Office Furnishings,Pharr,Small Box,3146,Maureen Stout,Corporate,Furniture,Eldon Executive Woodline II Cherry Finish Desk Accessories,10571,5/20/2019,85854,High,78577,Central,23909,5/21/2019,Regular Air,Texas,0.08,9,0.57,-2,346,19,41
Copiers and Fax,Adrian,Large Box,3261,Steven Long,Consumer,Technology,Canon imageCLASS 2200 Advanced Copier,10449,1/8/2019,90297,Critical,49221,Central,23910,1/10/2019,Regular Air,Michigan,0.05,2,0.37,-486,6916,24,3500
Chairs & Chairmats,Alamogordo,Jumbo Drum,1869,Roberta Daniel,Consumer,Furniture,Global Troy™ Executive Leather Low-Back Tilter,11084,2/21/2020,89210,Medium,88310,West,23911,2/24/2020,Delivery Truck,New Mexico,0.04,8,0.6,2814,4078,26,501
Envelopes,Alamogordo,Small Box,1869,Roberta Daniel,Consumer,Office Supplies,"Peel & Seel® Recycled Catalog Envelopes, Brown",11180,2/21/2020,89210,Medium,88310,West,23912,2/22/2020,Express Air,New Mexico,0.04,7,0.35,-5,81,7,12
Paper,Columbus,Small Box,1466,Wesley Reid,Small Business,Office Supplies,Xerox 23,10761,2/3/2019,91117,High,68601,Central,23913,2/4/2019,Regular Air,Nebraska,0.08,5,0.37,-29,33,5,6
Storage & Organization,Columbus,Small Box,1466,Wesley Reid,Small Business,Office Supplies,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",10863,2/3/2019,91117,High,68601,Central,23914,2/3/2019,Regular Air,Nebraska,0,12,0.57,288,436,8,35
